Points0,Points1,Points2,,intensity,filtered
68,381.9464034,66,,827.6686,0
52,381.9464034,144,,849.5264,0
183,381.9464034,94,,678.2874,0
57,381.9464034,61,,985.193,0
94,380.8180536,0,,1308.7722,24.2222
174,380.8180536,8,,907.2724,0
97,380.8180536,5,,1208.8438,22.0062
103,380.8180536,27,,1237.29,0
143,380.8180536,50,,986.6122,0
163,380.8180536,70,,957.71,6.6606
162,380.8180536,95,,1147.6316,0
138,380.8180536,110,,1059.1342,0
107,380.8180536,117,,1076.6046,1.9068
97,380.8180536,104,,903.1226,0.162
114,380.8180536,93,,893.9534,0
121,380.8180536,75,,1044.4736,13.788
178,380.8180536,153,,687.7326,0
148,380.8180536,176,,686.2666,0
7,380.8180536,178,,1064.4234,8.451
2,380.8180536,168,,1051.0404,0
17,380.8180536,116,,1175.521,12.523
31,380.8180536,41,,1067.473,7.3438
116,380.8180536,146,,762.4204,11.2704
118,380.8180536,17,,950.0292,6.0624
149,380.8180536,38,,797.9258,0.8742
194,380.8180536,154,,801.819,0
55,380.8180536,167,,746.5714,0
59,380.8180536,96,,1065.0748,0
83,380.8180536,119,,899.538,5.5618
111,380.8180536,175,,676.256,0
81,380.8180536,156,,613.3696,0
97,380.8180536,59,,1154.6034,0
27,380.8180536,142,,876.2876,0
80,380.8180536,66,,1074.8388,0
70,380.8180536,124,,775.6734,0
61,380.8180536,26,,883.9798,1.2754
139,380.8180536,58,,1067.2506,18.1064
137,380.8180536,163,,736.3166,2.219
169,380.8180536,131,,709.9228,1.8144
0,380.8180536,127,,1199.0394,0
68,380.8180536,66,,834.92,7.2514
52,380.8180536,144,,849.7288,0.2024
183,380.8180536,94,,678.0478,0
57,380.8180536,61,,1003.893,18.7
94,379.6897038,0,,1310.411,1.6388
174,379.6897038,8,,909.8724,2.6
97,379.6897038,5,,1202.5562,0
103,379.6897038,27,,1239.2068,1.9168
143,379.6897038,50,,990.4354,3.8232
163,379.6897038,70,,946.4516,0
162,379.6897038,95,,1147.476,0
138,379.6897038,110,,1062.2028,3.0686
107,379.6897038,117,,1074.743,0
97,379.6897038,104,,902.3796,0
114,379.6897038,93,,890.7948,0
121,379.6897038,75,,1050.6094,6.1358
178,379.6897038,153,,680.3826,0
148,379.6897038,176,,687.0832,0.8166
7,379.6897038,178,,1055.788,0
2,379.6897038,168,,1046.748,0
17,379.6897038,116,,1174.1152,0
31,379.6897038,41,,1069.4146,1.9416
116,379.6897038,146,,758.4046,0
118,379.6897038,17,,953.0292,3
149,379.6897038,38,,790.5504,0
194,379.6897038,154,,800.2308,0
55,379.6897038,167,,744.5536,0
